Title,Rating,Runtime,Directors,Writers,Stars,Genres,Popularity,Budget,Gross Worldwide,URL
The Boy Who Could Fly,6.6,1h 54m,Nick Castle,Nick Castle,"Lucy Deakins, Jay Underwood, Bonnie Bedelia, Fred Savage, Colleen Dewhurst, Fred Gwynne, Mindy Cohn, Janet MacLachlan, Jennifer Michas, Michelle Bardeaux","Drama, Fantasy, Romance",N/A,N/A,"$7,177,431",https://www.imdb.com/title/tt0090768/
Cele patru pene,7.4,2h 9m,Zoltan Korda,"Writers, R.C. Sherriff, Lajos Biró, Arthur Wimperis, ","John Clements, Ralph Richardson, C. Aubrey Smith, June Duprez, Allan Jeayes, Jack Allen, Donald Gray, Frederick Culley, Clive Baxter, Robert Rendel","Adventure Epic, Desert Adventure, Period Drama, Quest, Romantic Epic, Adventure, Drama, History, Romance, War",N/A,N/A,N/A,https://www.imdb.com/title/tt0031334/
The Impostors,6.5,1h 41m,Stanley Tucci,Stanley Tucci,"Oliver Platt, Stanley Tucci, Walker Jones, Jessica Walling, David Lipman, E. Katherine Kerr, George Guidall, William Hill, Alfred Molina, Michael Emerson",Comedy,N/A,N/A,"$2,198,044",https://www.imdb.com/title/tt0120823/
Superfly,6.4,1h 31m,Gordon Parks Jr.,Phillip Fenty,"Ron O'Neal, Carl Lee, Sheila Frazier, Julius Harris, Charles McGregor, Nate Adams, Polly Niles, Yvonne Delaine, Henry Shapiro, K.C.","Drug Crime, Action, Crime, Drama, Music, Thriller",N/A,"$58,000 (estimated)",N/A,https://www.imdb.com/title/tt0069332/
Cumplit de fericit,6.7,1h 39m,Henrik Ruben Genz,"Henrik Ruben Genz, Dunja Gry Jensen, Erling Jepsen","Jakob Cedergren, Lene Maria Christensen, Kim Bodnia, Lars Brygmann, Anders Hove, Jens Jørn Spottag, Henrik Lykkegaard, Bodil Jørgensen, Peter Hesse Overgaard, Niels Skousen","Danish, Dark Comedy, Crime, Drama, Thriller",N/A,N/A,"$2,828,984",https://www.imdb.com/title/tt1087890/
Il fantasma dell'opera,4.3,1h 39m,Dario Argento,"Writers, Gaston Leroux, Gérard Brach, Dario Argento, ","Julian Sands, Asia Argento, Andrea Di Stefano, Nadia Rinaldi, Coralina Cataldi-Tassoni, István Bubik, Lucia Guzzardi, Aldo Massasso, Zoltan Barabas, Gianni Franco","Italian, Horror",N/A,"$10,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0119889/
Noul Domn Jordan,7.5,1h 34m,Alexander Hall,"Sidney Buchman, Seton I. Miller, Harry Segall","Robert Montgomery, Evelyn Keyes, Claude Rains, Rita Johnson, Edward Everett Horton, James Gleason, John Emery, Donald MacBride, Don Costello, Halliwell Hobbes","Body Swap Comedy, Comedy, Fantasy, Romance",N/A,N/A,N/A,https://www.imdb.com/title/tt0033712/
X - omul cu raze X in ochi,6.6,1h 19m,Roger Corman,"Robert Dillon, Ray Russell","Ray Milland, Diana Van der Vlis, Harold J. Stone, John Hoyt, Don Rickles, Budd Albright, Leon Alton, Morris Ankrum, Benjie Bancroft, George DeNormand","Horror, Sci-Fi, Thriller",N/A,"$250,000 (estimated)",N/A,https://www.imdb.com/title/tt0057693/
Tekken: Buraddo benjensu,5.8,1h 32m,Yoichi Mouri,Dai Satô,"Isshin Chiba, Unshô Ishizuka, Yuki Matsuoka, Mamoru Miyano, Ryôtarô Okiayu, Maaya Sakamoto, Masanori Shinohara, Hidenari Ugaki, Akeno Watanabe, Bennett Abara","Japanese, Computer Animation, Action, Animation, Fantasy, Sci-Fi",N/A,N/A,N/A,https://www.imdb.com/title/tt2005363/
Cadence,6.5,1h 37m,Martin Sheen,"Dennis Shryack, Gordon Weaver","Charlie Sheen, Jay Brazeau, Matt Clark, Tom McBeath, David Glyn-Jones, Samantha Langevin, Jenn Griffin, Tony Pantages, Deryl Hayes, David Michael O'Neill",Drama,N/A,"$4,000,000 (estimated)","$2,070,871",https://www.imdb.com/title/tt0101531/
A Troll in Central Park,5.3,1h 16m,"Don Bluth, Gary Goldman","Writers, Stu Krieger, Don Bluth, Gary Goldman, ","Dom DeLuise, Cloris Leachman, Charles Nelson Reilly, Jonathan Pryce, Hayley Mills, Phillip Glasser, Tawny Sunshine Glover, Neil Ross, Will Ryan, Pat Musick","Hand-Drawn Animation, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical",N/A,N/A,"$71,368",https://www.imdb.com/title/tt0108395/
Granita,6.4,1h 48m,Tony Richardson,"Deric Washburn, Walon Green, David Freeman","Jack Nicholson, Harvey Keitel, Valerie Perrine, Warren Oates, Elpidia Carrillo, Shannon Wilcox, Manuel Viescas, Jeff Morris, Mike Gomez, Dirk Blocker","Tragedy, Crime, Drama",N/A,"$13,500,000 (estimated)","$6,118,683",https://www.imdb.com/title/tt0083678/
Invazia broaştelor,4.4,1h 31m,George McCowan,"Robert Hutchison, Robert Blees","Ray Milland, Sam Elliott, Joan Van Ark, Adam Roarke, Judy Pace, Lynn Borden, Mae Mercer, David Gilliam, Nicholas Cortland, George Skaff","B-Horror, Dystopian Sci-Fi, Horror, Mystery, Sci-Fi, Thriller",N/A,"$200,000 (estimated)",N/A,https://www.imdb.com/title/tt0068615/
Suddenly,6.8,1h 17m,Lewis Allen,Richard Sale,"Frank Sinatra, Sterling Hayden, James Gleason, Nancy Gates, Kim Charney, Willis Bouchey, Paul Frees, Christopher Dark, James O'Hara, Kem Dibbs","Film Noir, Psychological Thriller, Crime, Drama, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt0047542/
Breakheart Pass,6.7,1h 35m,Tom Gries,Alistair MacLean,"Charles Bronson, Ben Johnson, Richard Crenna, Jill Ireland, Charles Durning, Ed Lauter, Bill McKinney, David Huddleston, Roy Jenson, Rayford Barnes","Suspense Mystery, Whodunnit, Drama, Mystery, Western",N/A,N/A,N/A,https://www.imdb.com/title/tt0072735/
San xia hao ren,7.3,1h 51m,Jia Zhang-ke,"Jia Zhang-ke, Na Guan, Jiamin Sun","Tao Zhao, Zhou Lan, Sanming Han, Lizhen Ma, Hongwei Wang, Kai Chen, Ronghu Chen, Jian Chieng, Chuanan Fang, Zhongming He","Mandarin, Drama",N/A,"CN¥10,000,000 (estimated)","$2,504,465",https://www.imdb.com/title/tt0859765/
Sclavia Umana,7.0,1h 23m,John Cromwell,"Lester Cohen, W. Somerset Maugham, Ann Coleman","Bette Davis, Leslie Howard, Frances Dee, Kay Johnson, Reginald Denny, Alan Hale, Reginald Sheffield, Reginald Owen, Desmond Roberts, Charles Coleman","Dark Romance, Film Noir, Medical Drama, Tragedy, Tragic Romance, Drama, Romance",N/A,"$403,000 (estimated)",N/A,https://www.imdb.com/title/tt0025586/
Kansen,6.0,1h 38m,Masayuki Ochiai,"Ryôichi Kimizuka, Masayuki Ochiai","Michiko Hada, Mari Hoshino, Tae Kimura, Yôko Maki, Kaho Minami, Moro Morooka, Shirô Sano, Kôichi Satô, Masanobu Takashima, Isao Yatsu","Japanese, Body Horror, Drama, Horror, Sci-Fi",N/A,N/A,"$7,001,064",https://www.imdb.com/title/tt0418778/
Losing Isaiah,6.4,1h 51m,Stephen Gyllenhaal,"Seth Margolis, Naomi Foner","Jessica Lange, Halle Berry, David Strathairn, Cuba Gooding Jr., Daisy Eagan, Marc John Jefferies, Samuel L. Jackson, Joie Lee, Regina Taylor, LaTanya Richardson Jackson",Drama,N/A,"$17,000,000 (estimated)","$7,603,766",https://www.imdb.com/title/tt0113691/
The Firm,5.8,1h 30m,Nick Love,"Al Ashton, Nick Love","Paul Anderson, Calum MacNab, Daniel Mays, Doug Allen, Joe Jackson, Richie Campbell, James Kelly, Jaf Ibrahim, Tommy Nash, Eddie Webber","Coming-of-Age, Legal Drama, Comedy, Drama, Mystery, Thriller",N/A,N/A,"$1,094,777",https://www.imdb.com/title/tt1313113/
Love Stinks,5.7,1h 34m,Jeff Franklin,Jeff Franklin,"French Stewart, Bridgette Wilson-Sampras, Bill Bellamy, Tyra Banks, Steve Hytner, Jason Bateman, Tiffani Thiessen, Ellis Williams, Boogie Knights, Ivana Milicevic","Dark Comedy, Comedy",N/A,"$4,000,000 (estimated)","$2,924,635",https://www.imdb.com/title/tt0188863/
Termen-limita,4.6,1h 25m,Sean McConville,Sean McConville,"Brittany Murphy, Thora Birch, Tammy Blanchard, Marc Blucas, Claudia Troll, Michael Piscitelli","Drama, Horror, Thriller",N/A,"$1,800,000 (estimated)",N/A,https://www.imdb.com/title/tt1242618/
Doi super escroci,6.6,2h,Giuseppe Colizzi,"Writers, Giuseppe Colizzi, Barbara Alberti, Amedeo Pagani, ","Terence Hill, Bud Spencer, Reinhard Kolldehoff, Alexander Allerson, Ferdinando Murolo, Antoine Saint-John, Riccardo Pizzuti, Carlos Muñoz, Marcello Verziera, Sergio Bruzzichini","Italian, Jungle Adventure, Slapstick, Action, Adventure, Comedy",N/A,N/A,N/A,https://www.imdb.com/title/tt0069095/
Lemming,6.7,2h 9m,Dominik Moll,"Gilles Marchand, Dominik Moll","Laurent Lucas, Charlotte Gainsbourg, Charlotte Rampling, André Dussollier, Jacques Bonnaffé, Véronique Affholder, Michel Cassagne, Florence Desille, Emmanuel Gayet, Félix Gonzales","French, Drama, Mystery, Thriller",N/A,N/A,"$3,580,017",https://www.imdb.com/title/tt0415932/
Otis,5.9,1h 40m,Tony Krantz,"Erik Jendresen, Thomas Schnauz","Tarah Paige, Bostin Christopher, Ashley Johnson, Tracy Scoggins, Illeana Douglas, Daniel Stern, Gary Kraus, Kristen Trucksess, Jared Kusnitz, Angelo Custino","Dark Comedy, Satire, Comedy, Crime, Horror, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt0996967/
Gurotesuku,4.7,1h 13m,Kôji Shiraishi,Kôji Shiraishi,"Kotoha Hiroyama, Hiroaki Kawatsure, Shigeo Ôsako, Tsugumi Nagasawa","Japanese, Body Horror, Splatter Horror, Horror, Thriller",N/A,N/A,N/A,https://www.imdb.com/title/tt1352369/
Zona,7.0,1h 37m,Rodrigo Plá,"Laura Santullo, Rodrigo Plá","Daniel Giménez Cacho, Daniel Tovar, Alan Chávez, Carlos Bardem, Mario Zaragoza, Marina de Tavira, Maribel Verdú, Fernando Becerril, Andrés Montiel, Claudio Obregón","Spanish, Drama, Thriller",N/A,N/A,"$2,795,399",https://www.imdb.com/title/tt1039652/
Sissi - Die junge Kaiserin,6.6,1h 47m,Ernst Marischka,Ernst Marischka,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Gustav Knuth, Vilma Degischer, Walther Reyer, Senta Wengraf, Josef Meinrad, Iván Petrovich, Helene Lauterböck","German, Costume Drama, Drama, History",N/A,N/A,N/A,https://www.imdb.com/title/tt0049762/
Nascut in LA,6.1,1h 25m,Cheech Marin,Cheech Marin,"Cheech Marin, Paul Rodriguez, Daniel Stern, Kamala Lopez, Jan-Michael Vincent, Lupe Ontiveros, Urbanie Lucero, Chastity Ayala, David Perez, Neith Hunter","Dark Comedy, Satire, Comedy",N/A,N/A,"$17,355,263",https://www.imdb.com/title/tt0092690/
Obitaemyy ostrov,5.1,1h 55m,Fedor Bondarchuk,"Writers, Eduard Volodarskiy, Marina Dyachenko, Sergey Dyachenko, ","Vasiliy Stepanov, Yulia Snigir, Pyotr Fyodorov, Sergey Garmash, Gosha Kutsenko, Aleksey Serebryakov, Mikhail Evlanov, Andrey Merzlikin, Anna Mikhalkova, Maksim Sukhanov","Russian, Action, Adventure, Sci-Fi",N/A,"$29,500,000 (estimated)","$23,772,559",https://www.imdb.com/title/tt0972558/
Live!,5.8,1h 36m,Bill Guttentag,Bill Guttentag,"Eva Mendes, David Krumholtz, Rob Brown, Katie Cassidy, Jay Hernandez, Eric Lively, Monet Mazur, Jeffrey Dean Morgan, Danny Comden, Paul Michael Glaser",Drama,N/A,N/A,"$2,228,368",https://www.imdb.com/title/tt0810945/
Sirena de pe Mississippi,6.9,2h 3m,François Truffaut,"Cornell Woolrich, François Truffaut","Catherine Deneuve, Jean-Paul Belmondo, Nelly Borgeaud, Martine Ferrière, Marcel Berbert, Yves Drouhet, Michel Bouquet, Roland Thénot","French, Crime, Drama, Romance",N/A,"FRF 8,000,000 (estimated)","$33,725",https://www.imdb.com/title/tt0064990/
