Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Închisoarea îngerilor,9.3,55.0,25000000.0,29334033.0,https://www.imdb.com/title/tt0111161/,142,1.17336132,Frank Darabont,Stephen King,Tim Robbins,Epic
Cavalerul negru,9.1,92.0,185000000.0,1009242873.0,https://www.imdb.com/title/tt0468569/,152,5.455366881081081,Christopher Nolan,Jonathan Nolan,Christian Bale,Action Epic
Începutul,8.8,84.0,160000000.0,839786473.0,https://www.imdb.com/title/tt1375666/,148,5.24866545625,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,Action Epic
Fight Club - Sala de lupte,8.8,148.0,63000000.0,101321009.0,https://www.imdb.com/title/tt0137523/,139,1.608269984126984,David Fincher,Chuck Palahniuk,Edward Norton,Dark Comedy
Pulp Fiction,8.8,141.0,8000000.0,213928762.0,https://www.imdb.com/title/tt0110912/,154,26.74109525,Quentin Tarantino,Quentin Tarantino,Tim Roth,Dark Comedy
Forrest Gump,8.8,231.0,55000000.0,678226465.0,https://www.imdb.com/title/tt0109830/,142,12.331390272727273,Robert Zemeckis,Winston Groom,Tom Hanks,Epic
Stăpânul inelelor: Frăția inelului,8.9,106.0,93000000.0,889469951.0,https://www.imdb.com/title/tt0120737/,178,9.564193021505377,Peter Jackson,J.R.R. Tolkien,Alan Howard,Action Epic
Matrix,8.7,207.0,63000000.0,467845851.0,https://www.imdb.com/title/tt0133093/,136,7.426124619047619,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Action Epic
Stăpânul inelelor: Întoarcerea regelui,9.0,312.0,94000000.0,1139427855.0,https://www.imdb.com/title/tt0167260/,201,12.121572925531915,Peter Jackson,J.R.R. Tolkien,Noel Appleby,Action Epic
Nașul,9.2,56.0,6000000.0,250924773.0,https://www.imdb.com/title/tt0068646/,175,41.8207955,Francis Ford Coppola,Mario Puzo,Marlon Brando,Epic
Cavalerul negru: Legenda renaște,8.4,381.0,250000000.0,1115050227.0,https://www.imdb.com/title/tt1345836/,164,4.460200908,Christopher Nolan,Jonathan Nolan,Christian Bale,Action Epic
