Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0420293,2016-08-01,2016-08-01,,"The Stanford Prison Experiment","The Stanford Prison Experiment",https://www.imdb.com/title/tt0420293/,Movie,6.8,122,2015,"Biography, Drama, History, Thriller",47644,2015-07-17,"Kyle Patrick Alvarez"
2,tt0077294,2016-08-01,2016-08-01,,"Capricorn One","Capricorn One",https://www.imdb.com/title/tt0077294/,Movie,6.8,123,1978,"Action, Adventure, Drama, Thriller",26676,1978-05-05,"Peter Hyams"
3,tt0110308,2016-08-01,2016-08-01,,"The Last Seduction","The Last Seduction",https://www.imdb.com/title/tt0110308/,Movie,7.0,110,1994,"Crime, Drama, Romance, Thriller",27880,1994-10-26,"John Dahl"
4,tt0051744,2016-08-01,2016-08-01,,"House on Haunted Hill","House on Haunted Hill",https://www.imdb.com/title/tt0051744/,Movie,6.7,75,1959,"Crime, Horror, Mystery",33619,1959-02-17,"William Castle"
5,tt0085859,2016-08-01,2016-08-01,,"Local Hero","Local Hero",https://www.imdb.com/title/tt0085859/,Movie,7.3,111,1983,"Comedy, Drama",28846,1983-04-29,"Bill Forsyth"
6,tt0328099,2016-08-01,2016-08-01,,"Malibu's Most Wanted","Malibu's Most Wanted",https://www.imdb.com/title/tt0328099/,Movie,5.3,86,2003,"Comedy, Crime",21769,2003-04-18,"John Whitesell"
7,tt1533749,2016-08-01,2016-08-01,,"Shaolin","Xin Shaolin si",https://www.imdb.com/title/tt1533749/,Movie,6.8,131,2011,"Action, Drama",20625,2011-01-27,"Benny Chan"
8,tt0110763,2016-08-01,2016-08-01,,"The Pagemaster","The Pagemaster",https://www.imdb.com/title/tt0110763/,Movie,6.2,80,1994,"Animation, Adventure, Comedy, Family, Fantasy",27121,1994-11-23,"Pixote Hunt, Joe Johnston"
9,tt0092796,2016-08-01,2016-08-01,,"Creepshow 2","Creepshow 2",https://www.imdb.com/title/tt0092796/,Movie,6.0,92,1987,"Fantasy, Horror",30270,1987-05-01,"Michael Gornick"
10,tt0083190,2016-08-01,2016-08-01,,"Thief","Thief",https://www.imdb.com/title/tt0083190/,Movie,7.4,123,1981,"Action, Crime, Drama, Thriller",46084,1981-03-27,"Michael Mann"
11,tt1849718,2016-08-01,2016-08-01,,"Agneepath","Agneepath",https://www.imdb.com/title/tt1849718/,Movie,6.9,174,2012,"Action, Crime, Drama",28343,2012-01-26,"Karan Malhotra, Sushma Sunam"
12,tt2011971,2016-08-01,2016-08-01,,"Monsieur Lazhar","Monsieur Lazhar",https://www.imdb.com/title/tt2011971/,Movie,7.5,95,2011,"Comedy, Drama",21715,2012-03-07,"Philippe Falardeau"
13,tt0337103,2016-08-01,2016-08-01,,"Crimson Rivers 2: Angels of the Apocalypse","Les rivières pourpres II - Les anges de l'apocalypse",https://www.imdb.com/title/tt0337103/,Movie,5.9,100,2004,"Action, Crime, Mystery, Thriller",22442,2004-02-18,"Olivier Dahan"
14,tt0402057,2016-08-01,2016-08-01,,"Beowulf & Grendel","Beowulf & Grendel",https://www.imdb.com/title/tt0402057/,Movie,5.8,103,2005,"Action, Adventure, Drama, Fantasy",19092,2006-03-09,"Sturla Gunnarsson"
15,tt3253930,2016-08-01,2016-08-01,,"Marshland","La isla mínima",https://www.imdb.com/title/tt3253930/,Movie,7.2,105,2014,"Crime, Mystery, Thriller",38163,2014-09-26,"Alberto Rodríguez"
16,tt0072288,2016-08-01,2016-08-01,,"Thunderbolt and Lightfoot","Thunderbolt and Lightfoot",https://www.imdb.com/title/tt0072288/,Movie,7.0,115,1974,"Action, Comedy, Crime, Drama",31933,1974-05-24,"Michael Cimino"
17,tt0097858,2016-08-01,2016-08-01,,"Meet the Feebles","Meet the Feebles",https://www.imdb.com/title/tt0097858/,Movie,6.6,97,1989,"Comedy, Fantasy, Music, Musical",22921,1995-09-01,"Peter Jackson"
18,tt0100449,2016-08-01,2016-08-01,,"Quick Change","Quick Change",https://www.imdb.com/title/tt0100449/,Movie,6.8,89,1990,"Comedy, Crime",23690,1990-07-13,"Howard Franklin, Bill Murray"
19,tt0315824,2016-08-01,2016-08-01,,"The Big Bounce","The Big Bounce",https://www.imdb.com/title/tt0315824/,Movie,4.9,88,2004,"Comedy, Crime",19189,2004-01-30,"George Armitage"
20,tt0115632,2016-08-01,2016-08-01,,"Basquiat","Basquiat",https://www.imdb.com/title/tt0115632/,Movie,6.9,107,1996,"Biography, Drama",23353,1996-08-09,"Julian Schnabel"
21,tt0115744,2016-08-01,2016-08-01,,"Brassed Off","Brassed Off",https://www.imdb.com/title/tt0115744/,Movie,7.2,108,1996,"Comedy, Drama, Music, Romance",21867,1996-11-01,"Mark Herman"
